MeterID,Zone,ConsumerType,Date,EnergyConsymed_kwh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR1000,North,Industrial,02-02-2025,1957.4,71,0,Active,9.5
MTR1001,South,Commercial,30-11-2025,726.6,25.2,2,Active,8.2
MTR1002,South,Residential,19-07-2025,238.9,8.1,4,Active,6.5
MTR1003,North,Industrial,17-08-2025,1363.9,49.3,6,Active,9.5
MTR1004,Central,Residential,12-06-2025,329.8,13,1,Faulty,6.5
MTR1005,Central,Residential,15-07-2025,229.6,7.2,16,Active,6.5
MTR1006,Central,Residential,28-09-2025,318.5,11.7,1,Active,6.5
MTR1007,South,Industrial,30-04-2025,1146.8,40.3,1,Active,9.5
MTR1008,South,Commercial,12-01-2025,936.1,32.1,16,Active,8.2
MTR1009,Central,Residential,06-04-2025,216,6.9,18,Active,6.5
MTR1010,South,Residential,20-06-2025,253.1,7.5,25,Active,6.5
MTR1011,Central,Commercial,17-09-2025,694.7,20.9,6,Active,8.2
MTR1012,South,Commercial,28-10-2025,667.9,19.2,9,Active,8.2
MTR1013,Central,Commercial,29-10-2025,937.4,28,14,Active,8.2
MTR1014,Central,Commercial,01-08-2025,908.1,28.7,0,Active,8.2
MTR1015,Central,Industrial,11-07-2025,1449.6,56,4,Active,9.5
MTR1016,North,Residential,24-09-2025,249.3,7.5,2,Active,6.5
MTR1017,Central,Residential,29-08-2025,281.2,11.1,1,Active,6.5
MTR1018,Central,Industrial,24-10-2025,1448.8,50.1,5,Active,9.5
MTR1019,Central,Residential,07-01-2025,226.2,6.9,0,Active,6.5
MTR1020,Central,Residential,27-07-2025,215.3,7.1,7,Active,6.5
MTR1021,Central,Commercial,24-08-2025,828.1,24.3,9,Active,8.2
MTR1022,Central,Industrial,03-01-2025,1557.8,54,9,Active,9.5
MTR1023,Central,Industrial,08-03-2025,1404.7,46.5,4,Active,9.5
MTR1024,South,Residential,04-09-2025,262,7.8,8,Active,6.5
MTR1025,North,Industrial,31-07-2025,1459.9,48.9,5,Active,9.5
MTR1026,South,Residential,03-10-2025,264.8,8.7,18,Active,6.5
MTR1027,South,Commercial,04-11-2025,874.1,34.6,1,Active,8.2
MTR1028,North,Industrial,27-10-2025,1666,62.1,4,Active,9.5
MTR1029,Central,Commercial,17-01-2025,757.7,22.7,1,Active,8.2
MTR1030,North,Residential,20-08-2025,251.6,10,11,Active,6.5
MTR1031,North,Commercial,26-02-2025,870.4,26.4,10,Active,8.2
MTR1032,South,Residential,27-03-2025,271.4,10.2,11,Active,6.5
MTR1033,North,Industrial,20-05-2025,1794.7,57,3,Active,9.5
MTR1034,Central,Commercial,12-09-2025,861.6,29,4,Faulty,8.2
MTR1035,South,Commercial,04-08-2025,764.2,23.2,26,Active,8.2
MTR1036,South,Industrial,19-09-2025,1849,53.2,0,Active,9.5
MTR1037,South,Residential,26-04-2025,320.8,12.7,23,Active,6.5
MTR1038,Central,Residential,17-08-2025,347.4,10.8,4,Active,6.5
MTR1039,Central,Residential,19-11-2025,204.1,6.2,2,Active,6.5
MTR1040,North,Industrial,29-11-2025,1635.2,64.6,0,Active,9.5
MTR1041,South,Industrial,20-11-2025,1792.8,61.3,7,Active,9.5
MTR1042,North,Residential,25-01-2025,272.6,9.7,17,Active,6.5
MTR1043,South,Commercial,23-03-2025,557.3,19.1,3,Active,8.2
MTR1044,North,Industrial,20-01-2025,1650.6,53.4,0,Active,9.5
MTR1045,Central,Commercial,29-03-2025,891.4,26.8,21,Active,8.2
MTR1046,Central,Industrial,18-09-2025,1551.1,61.1,21,Active,9.5
MTR1047,North,Residential,21-10-2025,252,7.9,9,Active,6.5
MTR1048,North,Commercial,23-02-2025,823.8,24,9,Active,8.2
MTR1049,Central,Commercial,09-01-2025,814.3,28.8,1,Active,8.2
MTR1050,South,Residential,22-03-2025,264.9,9.8,6,Active,6.5
MTR1051,Central,Residential,23-06-2025,305.2,10.4,14,Active,6.5
MTR1052,North,Commercial,08-10-2025,755,26.5,7,Active,8.2
MTR1053,Central,Industrial,06-09-2025,1459.5,44.7,27,Active,9.5
MTR1054,North,Industrial,21-01-2025,1524.4,59,12,Active,9.5
MTR1055,Central,Residential,18-05-2025,261.7,8,2,Active,6.5
MTR1056,South,Commercial,23-06-2025,746.3,26.3,15,Active,8.2
MTR1057,Central,Industrial,08-09-2025,1869.4,70.9,10,Active,9.5
MTR1058,North,Commercial,21-01-2025,668.6,23,0,Active,8.2
MTR1059,North,Residential,24-06-2025,266.8,10.2,1,Active,6.5
MTR1060,South,Residential,20-10-2025,289.6,9.5,6,Active,6.5
MTR1061,South,Commercial,01-06-2025,685.6,22.4,0,Active,8.2
MTR1062,South,Commercial,25-02-2025,635.2,19.3,2,Active,8.2
MTR1063,North,Industrial,10-12-2025,1669.3,66.4,10,Active,9.5
MTR1064,North,Residential,03-05-2025,274,8.3,28,Active,6.5
MTR1065,North,Residential,19-08-2025,207.5,7.8,15,Active,6.5
MTR1066,Central,Residential,11-08-2025,258.5,7.6,7,Active,6.5
MTR1067,Central,Commercial,09-10-2025,606.1,22,14,Active,8.2
